asset,strategy,mu,Q,C,ROI,V,max_c,cv_c,C_target,scale_to_target_C,mu_budget_norm,Q_budget_norm,C_budget_norm,ROI_budget_norm,V_budget_norm,max_c_budget_norm,cv_c_budget_norm
SP500,DCA,309.14234059320574,41.6021952066525,12861.0,14.429235830240168,198435.4020127188,1.0,0.0,12861.0,1.0,309.14234059320574,41.6021952066525,12861.0,14.429235830240168,198435.4020127188,1.0,0.0
SP500,rho=1,136.95061255188355,36.17962193309128,4954.821385632413,33.82883346956886,172570.64891164977,1.9123314195329164,1.121306017153687,12861.0,2.595653606665475,136.95061255188355,93.90976615842172,12861.0,33.82883346956886,447933.6272521252,4.9637499462503225,1.121306017153687
SP500,rho=2,107.52282789529278,40.07514498429669,4308.992917025439,43.361092165190506,191151.63193131858,3.657011458132779,1.733034245372049,12861.0,2.984688127284771,107.52282789529278,119.61180943384618,12861.0,43.361092165190506,570528.0063365151,10.915038680433273,1.733034245372049
SP500,rho=3,98.35398756290165,48.528278565496215,4772.949706479842,47.49656019360157,231471.6427413326,6.993417912979198,2.1330725508383273,12861.0,2.694560133860132,98.35398756290165,130.76236478744525,12861.0,47.49656019360157,623714.2606499097,18.844185107737072,2.1330725508383273
SP500,tanh_rho=1,150.03875875690116,26.27712718691836,3942.5875468224526,30.790652746289847,125337.43162287936,0.9572807943528153,0.958868586049259,12861.0,3.262070872811787,150.03875875690116,85.71785121761711,12861.0,30.790652746289847,408859.5849700337,3.122717796360449,0.958868586049259
SP500,tanh_rho=2,118.13115146040204,19.637923344976063,2319.8504970331323,39.377411200667616,93669.55744277993,0.9163865192367571,1.4499195625145611,12861.0,5.543891736320075,118.13115146040204,108.87052095069987,12861.0,39.377411200667616,519293.88545178616,5.080347651271775,1.4499195625145611
SP500,"moment_tilted(rho=2,xi=3,lam=0.75)",101.95980421411193,9.219754148906336,940.0443279247362,45.78147545388111,43976.6606523712,1.0,1.9388672190595546,12861.0,13.681269720963313,101.95980421411193,126.13794327215814,12861.0,45.78147545388111,601656.5558123649,13.681269720963313,1.9388672190595546
SP500,"adaptive(W=90,rho_max=2,k=0.5)",148.86601500764326,33.60296468677746,5002.33944536312,31.041094657367577,160280.43167716335,1.0,1.0287568983986446,12861.0,2.5709970585705464,148.86601500764326,86.39312336895479,12861.0,31.041094657367577,412080.5183884044,2.5709970585705464,1.0287568983986446
BTC,DCA,7004.361623786284,0.36491548227892984,2556.0,5.034124131522651,15423.221280171896,1.0,0.0,2556.0,1.0,7004.361623786284,0.36491548227892984,2556.0,5.034124131522651,15423.221280171896,1.0,0.0
BTC,rho=1,2311.6622904472265,0.15759406328775039,364.3042533006462,17.283461072431628,6660.742633743636,1.2835949888764382,1.4247844624475159,2556.0,7.016113528300291,2311.6622904472265,1.1056978394129977,2556.0,17.283461072431628,46732.52650113524,9.00584816631444,1.4247844624475159
BTC,rho=2,1308.4076218132918,0.12024547437094496,157.33009515549924,31.302767727251275,5082.197520314433,1.6476160954687036,3.220927175325255,2556.0,16.24609708316609,1308.4076218132918,1.953519650441732,2556.0,31.302767727251275,82565.87431085425,26.76733104277161,3.220927175325255
BTC,rho=3,1087.9838789507066,0.11033625312995309,120.0440646692134,37.847255292755044,4663.382426584929,2.114871763735791,4.287654218861793,2556.0,21.29218139225099,1087.9838789507066,2.3492995157842818,2556.0,37.847255292755044,99293.58452828188,45.030233214812235,4.287654218861793
BTC,tanh_rho=1,2553.134125624853,0.1310013849008757,334.4641062945421,15.554237035884686,5536.798095595181,0.8574397970180974,1.2324467751163355,2556.0,7.642075642487888,2553.134125624853,1.0011224926831628,2556.0,15.554237035884686,42312.62986372125,6.552619787691761,1.2324467751163355
BTC,tanh_rho=2,1467.0265454068453,0.07514765950847492,110.24361132412784,27.81010410638394,3176.1299193118502,0.735203005510436,2.71191684989389,2556.0,23.185016975587732,1467.0265454068453,1.742299761379678,2556.0,27.81010410638394,73638.62609591734,17.04569416326258,2.71191684989389
BTC,"moment_tilted(rho=2,xi=3,lam=0.75)",1168.9137435528226,0.059975513320806216,70.10620179732577,35.15766153243972,2534.8763159126224,1.0,3.8362701942402526,2556.0,36.458971310260026,1168.9137435528226,2.1866455194813916,2556.0,35.15766153243972,92418.98287691594,36.458971310260026,3.8362701942402526
BTC,"adaptive(W=90,rho_max=2,k=0.5)",2159.2986544492846,0.1823071932664122,393.6556771165896,18.573571915543784,7705.247706003649,1.0,1.6607886045666542,2556.0,6.492983966907166,2159.2986544492846,1.1837176829306604,2556.0,18.573571915543784,50030.04981612991,6.492983966907166,1.6607886045666542
